,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2
MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0108666520210631,-0.05869380338129393,-0.06943303093060002,-0.06242920910430813,-0.06242920910430813,0.024861756624775036,0.11429063482979784,0.023446909958799195,,
AOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004749615485648839,0.03419537865622385,0.03644610120809191,0.05140184346813245,0.05140184346813245,0.035195410106625885,0.03566294943445203,0.0747436057847073,,
ABT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06188153378797227,0.06366997342430077,0.10008671348227166,0.077790560704501,0.077790560704501,0.10097664211844634,0.10763812909793902,0.13470229661369237,,
ABBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04399323895372722,0.046753336312659544,0.05847958743292148,0.050342687020157935,0.050342687020157935,0.04933316683725427,0.039738007254107074,0.057465694023569436,,
ACN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010353967566490763,-0.016312007869521417,0.023955347592539422,0.10060856745506197,0.10060856745506197,0.0011359837322532096,0.24658571985599617,0.26092059539588486,,
ADBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004287664720246165,0.0030174873362793786,-0.09716530541744911,-0.131880221623432,-0.131880221623432,0.0404605879761018,0.18726168089371428,0.14583735152461835,,
AMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1270682461719348,0.1935904511575558,0.23172979831674706,-0.04376753567813951,-0.04376753567813951,0.06780682749419398,0.002458901640644995,0.06536984781934208,,
AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012460790902255825,-0.017332067926749517,0.0010286028791275104,-0.05029382239658178,-0.05029382239658178,0.06678146168629526,-0.01408885278119798,-0.0010202029563908255,,
AFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025462906085335774,0.051179942257127437,-0.030931829652288412,0.14819379229966026,0.14819379229966026,0.1440920470392397,0.15095577559689394,0.13699046425184622,,
A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04388296355595478,0.09237567526113066,0.09582182803082631,0.20129765825226653,0.20129765825226653,0.14159739373336866,0.0019754328160714874,0.1530988257623023,,
APD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02251722049170679,0.09729640999629019,0.037359802905098105,0.023966761074681486,0.023966761074681486,0.10738199686594746,0.06561870061193142,0.19801347115863493,,
ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028430457903616382,-0.027874858530335132,-0.026946780630207688,-0.03324702309232389,-0.03324702309232389,-0.023114311055772024,-0.0167443448998155,-0.022013489360788598,,
AKAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007605101342170545,0.013489570602751879,0.009387493473585633,0.016154709390508077,0.016154709390508077,0.021827026688792654,0.021485061496198183,0.0180189977048814,,
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07116262560689635,0.09160780557412967,0.05667548842794374,0.07772404883906889,0.07772404883906889,0.09613729631489816,0.0884347591576218,0.09662449380791982,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.024539107525223286,-0.08299902078674082,0.014450718980591873,-0.040101106950130444,-0.040101106950130444,-0.010585906069040876,-0.06728728483599061,0.020393750941301803,,
