,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4
AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01706168623264795,0.03888232162732175,0.07515232243628794,0.03883480375516224,0.03883480375516224,-0.02281311304646838,-0.010542583548163648,-0.02122312294449552
ACLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13351301509626992,0.03052633129763531,0.019494575095807792,0.05260366292430918,0.05260366292430918,0.008590324159991086,0.06191510814654674,0.009925956080904116
ADBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04549650930157389,0.04748712101515488,0.052530436024937115,0.04357599801803808,0.04357599801803808,0.06027394212111662,0.033721836395654445,0.05391354781704011
ALLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14099895627169703,-0.1275103079944373,-0.11077870023984358,-0.10484597039680726,-0.10484597039680726,-0.09983403355891518,-0.09780838756468366,-0.11527742683237861
ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010924968362216375,-0.0015524200209245803,0.013221347674867382,-0.008105964106185921,-0.008105964106185921,-0.011738804938879195,-0.0016622127030412465,-0.025970288865708117
AMAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1250738388320284,0.0987178339567566,0.07900582481127619,0.05794289593758486,0.05794289593758486,0.062312633827068385,0.09178842118445107,0.07344934609509915
AMKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0412649743238001,0.028040697209799077,0.025225236812861006,0.016284892878589502,0.016284892878589502,0.01592095476671962,0.03012467486041575,0.015826206744732736
ANSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029538623602877616,0.03936596213119557,0.033239976597142305,0.03344232786909852,0.03344232786909852,0.03896382305174707,0.018707921801208394,0.023093562904321678
ASML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05245051116958951,0.055876761143234546,0.054575246471104094,0.032345962073187975,0.032345962073187975,0.06181255722856098,0.05272676377069657,0.05798090411480553
AVGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032110684297694314,0.17721538143011872,0.13408373957915312,0.28004204669883964,0.28004204669883964,0.16613157629901543,0.0743766506169572,0.09444386214977077
AVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01267581096584542,-0.01848104509575024,-0.016401644234887262,-0.05770386784571134,-0.05770386784571134,-0.023046847758784062,-0.003643789075966082,-0.026801739581373003
AWRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03950194329861777,0.03934879100558505,0.03862706304118017,0.03877828181728728,0.03877828181728728,0.03791459621830954,0.038373961652015065,0.039611213181685624
AXTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08719299991645536,0.013414231238417937,0.024659374218373886,-0.055348900410286075,-0.055348900410286075,0.04844030341163702,0.10928875326199484,0.06273407384673209
AZPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0505055582414365,0.059278506584288654,0.04849567509252932,0.053638321515681195,0.053638321515681195,0.051796951016350644,0.025532863754323898,0.033955338945501595
BBSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1174208019215449,0.11006012675874785,0.021386472628355552,0.09015211239672377,0.09015211239672377,0.10867669891183171,0.0033221084540757118,0.062429061692290524
BIDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061536740613955615,0.05841729163901388,0.03399413073340421,0.12434233489780533,0.12434233489780533,0.03502441924904104,0.12044374143222406,0.07237322343829136
BLKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029326868883883625,0.04746144919716516,0.02616803288068957,0.02001078946631979,0.02001078946631979,0.03758719367555055,0.00798700887538703,0.018811443986405663
